PATIENT_ID	cBio_scRNA_sample_ID	MxIF_aliquot_ID	thumbnail	minerva
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371814/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371814/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371818/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371818/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371823/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371823/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371827/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371827/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371833/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371833/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371845/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371845/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371849/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371849/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371855/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371855/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371865/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371865/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371873/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371873/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371878/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371878/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371885/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371885/minerva/index.html#s=0
HTA8_6003	HTA8_6003_001101	HTA8_6003_001102	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371894/thumbnail.jpg	https://d3p249wtgzkn5u.cloudfront.net/synid/syn61371894/minerva/index.html#s=0
