Entrez_Gene_Id	TCGA-01-0628-01-11	TCGA-01-0630-01-11	TCGA-01-0631-01-11	TCGA-01-0633-01-11	TCGA-01-0636-01-11	TCGA-01-0637-01-11	TCGA-01-0639-01-11	TCGA-01-0642-01-11
174	0.084236303	0.01413938	0.467866891	0.068321496	-0.053374561	0.017460814	0.294507216	-0.147223183
175	-0.246744644	-0.318772551	-0.18754715	0.285011747	0.315959629	-0.281833217	0.463327449	-0.13913336
176	-0.037479924	0.107927821	-0.043980283	-0.202173647	-0.182772483	-0.114646092	-0.18414695	-0.134460127
177	-0.267363465	-0.058510203	-0.035045296	0.05522366	0.02854957	-0.163708589	0.028181993	0.0581464
178	-0.421002744	-0.376025415	-1.271217864	-0.824149898	-0.269272391	-0.549656621	-0.116710653	-0.548192598
181	-0.263716663	0.199362593	-0.069476286	0.155236153	-0.148141641	-0.180055916	-0.030995566	-0.193128028
182	0.927267987	1.261277636	0.813092513	0.215959712	0.408396624	0.935371312	0.980993233	0.817439838
183	1.165620488	1.364967271	1.891641451	1.314623819	0.587521249	1.257264813	0.942767083	2.105156867
185	0.2656101	0.346798067	0.305088009	0.517717385	0.227138652	0.223124277	0.363414649	0.271716112
186	0.118167663	0.253585786	0.967628363	0.109813856	0.799171332	0.226991021	0.913177809	0.778844896
187	-0.168608474	-0.000136137	-0.086886137	0.160853318	-0.145511137	-0.113761137	-0.072761137	-0.03259447
189	0.12046188	0.147805391	0.128422867	0.191905096	0.072675777	0.049184687	0.463655096	0.09943831
190	-0.069034896	-0.237619883	0.202307546	-0.461284883	-0.058359049	-0.135592838	-0.220877598	-0.144652298
191	0.069891913	0.260196469	0.040028899	-0.925599059	-0.451100432	0.295791913	-0.419681961	-0.212814784
196	0.323755006	0.152880006	-0.239841008	0.159976788	-0.761994994	1.375148492	-0.515594203	0.266084555
197	0.231312792	-0.061166009	0.309370658	0.05080959	-0.056324212	0.202222107	0.549701456	0.023539472
199	0.391501617	0.719009316	0.796228982	1.28614163	-0.138742024	0.098501617	-0.711174111	0.60938663
202	1.31683244	1.83133244	0.44453244	0.24333244	2.45553244	1.41733244	2.05658244	0.95908244
203	1.689387912	2.104373928	2.780358977	1.341110129	1.672852155	2.385216287	2.182496349	2.810999632
204	-0.906095499	-0.905183882	-0.623491787	-0.504642375	-0.618436988	-0.593380143	-0.884725082	-0.634988907
205	-0.251498983	-0.237911738	-0.660098983	-0.756898983	-1.200498983	0.221197879	-0.363662653	-0.309998983
207	-0.188037956	0.062801321	-0.489510189	0.025842809	-0.317240442	0.643893862	0.140086083	0.269884158
208	-0.077437202	-0.024719024	0.150645643	0.075922711	-0.166772498	-0.231362854	0.007412958	0.117663699
210	-0.300652716	-0.229060051	-0.279676367	-0.091810801	0.013281364	-0.142651648	-0.138330717	-0.107818315
211	-0.382418456	-0.69646461	-0.764012244	-0.654926148	-0.555220929	-0.522564034	-0.294018456	-0.517582897
212	0.356922399	0.418257402	2.026292973	0.433703527	0.294374135	0.964245328	0.71204593	0.951026194
213	0.030445715	-0.048955906	0.222302658	0.020207254	0.267518092	0.151060863	0.36940545	-0.03349405
